date,title,processed_description,category,url,document,topic,gamma,topic_name
"Publish : 12 May 2025, 14:46",EC awaits official gazette on AL: CEC,chief elect commission amm nasir uddin mondai elect commiss decid awami leagu al registr receiv offici gazett notif wait gazett notif sun rise sky wait tell report citi unb report cec remark repli question meet deleg carter center nirbachan bhaban capit awami leagu registr cancel gazett issu cec repli decis base medium report gazett issu sit decid notif represent peopl rpo polit parti ban registr elect commiss automat subject cancel demand student leader 2024 mass upris polit parti includ nation citizen parti ncp jamaat islami interim govern decid ban awami leagu activ council advis special meet saturdai night decid ban activ awami leagu includ cyberspac anti terror act trial bangladesh awami leagu leader intern crime tribun complet sundai council advis approv draft anti terror amend ordin 2025 incorpor provis ban individu entiti involv terrorist activ oper anti terror act 2009 enact deter terrorist activ ensur effect punish relev provis amend incorpor provis ban activ entiti adapt prohibit dissemin content onlin social medium platform,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11882/ec-awaits-official-gazette-on-al-cec,63,10,0.8416489457953207,International
"Publish : 10 May 2025, 23:32",Govt bans all activities of AL,activ oust awami leagu al declar ban juli august mass upris press confer saturdai night law advisor asif nazrul share inform journalist emerg meet advisori council lead chief advisor dr muhammad yunu statement meet advisori council announc amend intern crime tribun act approv todai session amend intern crime tribun punish polit parti affili organ support statement mention trial bangladesh awami leagu leader conclud intern crime tribun decis ban activ awami leagu includ presenc cyberspac anti terror act aim protect nation secur sovereignti ensur safeti juli movement activist safeguard plaintiff wit intern crime tribun circular matter issu dai addition meet decid final publish juli declar 30 dai,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11862/govt-bans-all-activities-of-al,64,10,0.9979065676590149,International
"Publish : 10 May 2025, 23:16",'18cr people of Bangladesh no longer want AL',bnp secretari mirza fakhrul islam alamgir saturdai 18 crore peopl countri awami leagu hand hold ralli chattogram ralli hold market dhaka demand awami leagu ban youth grand ralli polo grind chattogram unb report jubo dal swechchhasebak dal chhatra dal organis ralli fakhrul awami leagu establish baksal bnp founder ziaur rahman lay foundat multi parti democraci freedom press restor ziaur rahman lay foundat garment industri khaleda zia introduc caretak govern system ad bnp leader warn peopl return abroad attempt era histori allow distort truth address youth job busi peac educ institut genuin democraci call action youth rise resist conspiraci reclaim right sheikh hasina unleash repress countri past 15 peopl million suffer fascist rule thousand lose live 60 lakh peopl fals implic 20 000 peopl kill 1 700 forcibli disappear ad fakhrul prime minist khaleda zia unjustli jail act bnp act chairman tariqu rahman remain unabl return countri tariqu rahman dream build modern bangladesh compromis nation declar final decis street realiti fakhrul prais organis ralli call unpreced gather effort jubo dal swechchhasebak dal chhatra dal chattogram special attent citi ziaur rahman declar countri independ fakhrul ad,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11860/18cr-people-of-bangladesh-no-longer-want-al,65,8,0.7467410267993613,Weather
"Publish : 09 May 2025, 20:35",Shahbagh blocked demanding AL ban,protest block shahbagh intersect 4 40 pm fridai demand ban awami leagu al vow continu sit demand meet announc hasnat abdullah chief coordin nation citizen parti ncp southern region ralli hold front intercontinent hotel unb report demand reach ear interim govern hasnat declar 4 30 pm leav ralli venu head shahbagh leav demand fulfil assert shortli declar process march minto road reach shahbagh 4 40 pm demonstr sit ralli hasnat accus awami leagu dismantl democraci awami leagu polit parti mean 1974 form baksal replac democraci mafia system hasnat alleg fifteen lakh peopl di starvat due awami leagu loot blood peopl hand india support kill patriot armi offic protest early dai 2 45 pm recit holi quran ncp leader ashraf mahadi mitig heat ralli site dhaka north citi corpor dncc reportedli sprai water water cannon 3 pm polit includ jamaat islami inquilab mancha islam movement ab parti express solidar protest movement gain momentum student lead ncp gather front chief advis resid jamuna thursdai night demand ban awami leagu sit formal 10 pm thursdai hasnat leadership,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11842/protesters-block-shahbagh-demanding-al-ban,66,7,0.5876937649551092,Education
"Publish : 09 May 2025, 17:11","Govt considers ban on AL citing dictatorship, terror links",interim govern fridai due import demand rais polit parti organis public ban awami leagu al charg dictatorship terrorist activ govern establish contact polit parti regard discuss decis govern statement share chief advis press wing unb report govern regard take consider report terrorist activ leader support awami leagu govern urg maintain patient govern ban terrorist organis chhatra leagu exist law respect public demand statement govern initi bring amend intern crimin court act action organis involv crime human press wing statement govern awar public anger foreign travel presid fascist govern abdul hamid murder accus govern determin legal action involv incid statement read,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11841/govt-considers-ban-on-al-citing-dictatorship,67,10,0.5565400694404685,International
"Publish : 08 May 2025, 18:43",Disillusioned AL members welcome to join BNP: Rizvi,bnp set launch month membership drive start 15 parti door disillus awami leagu al previous inact distanc protest parti misde speak press brief bnp nayapaltan central offic parti senior joint secretari ruhul kabir rizvi remain vigil prevent awami leagu affili involv act terror land grab monei launder plunder infiltr parti unb report journalist awami leagu leader worker bnp rizvi respond inact polit time individu support awami leagu grow disillus misrul brutal loot monei launder support activ distanc awami leagu shouldn allow join parti parti target fresh peopl reput accept societi retir offici teacher govern employe banker ngo worker farmer labour criterion parti person believ ideal bnp leader parti expect peopl sector societi support bnp loyal parti uphold nationalist ideal parti bnp leader assur implement review system ensur undesir element infiltr parti explain parti purchas primari membership form tk 20 payment receipt affidavit refer applic form outlin parti constitut wish primari requir fill applic form form undergo verif process verif individu involv crimin activ terror land grab monei launder infiltr strongli avoid focus fresh individu societi reput respect peopl commun rizvi parti conduct primari membership collect drive alongsid renew programm 15 juli 15 rizvi mention parti early form committe conven bnp treasur rashiduzzaman millat secretari carri membership renew campaign committe meet early dai parti central offic decid conduct month drive collect bnp membership collect renew drive rizvi assess peopl engag parti polit drive begin inaugur programm division citi division organis secretari assist secretari supervis campaign,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11829/disillusioned-al-members-welcome-to-join-bnp,68,8,0.6384258829186494,Weather
"Publish : 07 May 2025, 22:48",Khaleda likely to step back from politics,khaleda zia resolut bangladesh polit 1984 serv chairperson bangladesh nationalist parti bnp prime minist countri time imprison februari 8 2018 distanc polit time suffer complex ill absenc eldest son tariqu rahman charg act chairman parti continu lead tariqu rahman perform role fall awami leagu govern august 5 khaleda zia acquit london advanc medic treatment januari 8 month treatment london bnp chairperson return countri 6 tuesdai prime minist suffer live cirrhosi kidnei heart diseas return health stabil return spark curio parti polit circl alik question activ polit bnp sourc return countri khaleda zia directli activ parti polit tariqu rahman continu lead parti act chairman street due ag health plai role parti intern sourc bnp state parti leader believ regularli sit gulshan offic return tariqu rahman complet dismiss possibl recent visit london reportedli express intent front jamaat leader reliabl jamaat sourc bnp leader khaleda zia chairperson parti presenc countri mean polit view guardian bnp polit multipl senior leader bnp mention health remain stabl khaleda zia particip parti program futur physic join virtual parti hope khaleda zia activ polit absenc act chairman countri expect plai role street recent past expect provid guidanc direct parti bnp joint secretari abdu salam azad hope allah healthi lead democraci polit polit analyst khaleda zia return receiv treatment abroad pave democrat transit countri argu democraci exist elect current circumst polit parti concern complex surround elect situat khaleda zia presenc mean overcom crisi wide accept respect leader histori struggl democraci return expect strengthen demand nation elect,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11817/khaleda-likely-to-exit-politics,69,10,0.6348295790446993,International
"Publish : 05 May 2025, 18:55",Khaleda reaches Heathrow for homecoming,bnp chairperson khaleda zia reach heathrow airport mondai return home aboard special air ambul provid emir qatar month receiv advanc treatment london bnp chief leave home old son bnp act chairman tariqu rahman 2 00pm gmt reach airport 40 minut person physician dr azm zahid hossain tariqu person drive mother heathrow airport khaleda sit rear seat tariqu zubaida rahman daughter seat car airport hundr leader activist bnp uk chapter gather airport khaleda parti leader worker shout slogan khaleda vehicl wave hand prof zahid accompani flight bnp chief depart london heathrow airport 4 10pm 9 10pm bst air ambul provid emir qatar sheikh tamim bin hamad al thani complet procedur flight schedul reach hamad intern airport doha 2 30am local time khaleda zia daughter law eldest son tariqu rahman wife dr zubaida rahman late son arafat rahman koko wife syeda shamila rahman accompani bnp chief entourag includ medic team expect land hazrat shahjal intern airport 10am tuesdai hope reach dhaka time bnp secretari mirza fakhrul islam alamgir tell unb urg parti leader activist remain alert traffic jam give bnp chief recept return home ssc exam schedul tuesdai bnp secretari urg law enforc parti leader worker ensur public inconveni aris recept bnp chairperson khaleda zia khaleda zia travel london januari 8 special air ambul emir qatar arriv admit london clinic privat hospit remain care renown specialist professor patrick kennedi professor jennif cross 17 dai 25 januari receiv treatment resid old son tariqu rahman 17 dai london clinic supervis specialist prof patrick kennedi prof jennif cross tariqu rahman resid bnp complet prepar bnp chief massiv recept gulshan resid hazrat shahjal intern airport bnp chief travel dhaka airport resid gulshan kakoli rout fakhrul urg stand road madam stand footpath greet instruct parti leader activist hold nation bnp flag receiv urg public elev expresswai airport kakoli dai khaleda return avoid traffic congest bnp chief gulshan resid firoza locat hous 1 road 80 prepar zubaida homecom 17 tariqu rahman dr zubaida daughter zaima rahman live london 2008 17 exil dr zubaida rahman return home mother law plan stai father dhanmondi resid father hous mahbub bhaban locat road 5 dhanmondi prepar zubaida hous addit arrang zubaida stai comfort secur,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11777/khaleda-zia-ready-to-fly-back-to-dhaka-on-%E2%80%98wings,70,10,0.6834007577755061,International
"Publish : 05 May 2025, 13:52",'EC not to engage in political controversies',chief elect commission cec mm nasir uddin mondai elect commiss involv activ creat polit controversi ec engag polit controversi decis commiss singl person make decis view exchang meet elect offici mymensingh region citi corpor auditorium unb report ec commit hold upcom nation elect free fair neutral manner chanc time vote cast night respond question dhaka south citi corpor mayor ishraq hossain swear cec respons ministri local govern elect commiss role matter meet focus voter list updat prepar elect region elect offic shahinur islam pramanik presid event addit region elect offic district addit district elect offic upazila elect offic region,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11770/ec-not-to-engage-in-political-controversies,71,8,0.7678532836361609,Weather
"Publish : 05 May 2025, 10:12",Zubaida Rahman returning home after 17yrs,17 exil dr zubaida rahman wife bnp act chairman tariqu rahman set return dhaka tuesdai plan stai father dhanmondi resid mark poignant homecom zubaida return home mother law prime minist begum khaleda zia air ambul provid emir qatar unb report leave dhaka husband tariqu rahman daughter zaima rahman 17 ago 11 septemb 2008 hous mahbub bhaban locat road 5 dhanmondi resid late father navi chief rear admir mahbub ali khan prepar underwai zubaida patern home stai ail mother bnp medium cell atikur rahman rumman tell unb secur renov resid zubaida rahman come stai hous arrang includ decor cctv instal ensur util servic stai comfort rumman readi ahead zubaida arriv mahbub bhaban prepar receiv mahbub bhaban home zubaida mother syeda iqbal mand banu famili old sister shahina zaman syeda iqbal mand banu recent admit hospit dhaka rumman extens secur measur resid includ instal cctv camera perimet wall deploy polic bnp chairperson special secur forc csf personnel hous have addit arrang view zubaida rahman return bnp act chairman tariqu rahman specif instruct secur arrang inconveni neighbour have tell avoid disturb surround resid chairman care respect rumman mahbub bhaban featur flower garden front dedic guard secur personnel separ vehicl secur team arrang dr zubaida stai bangladesh 30 april bnp chairperson person secretari abm abdu sattar write inspector polic request arm protect polic presenc resid instal archwai scanner cite potenti secur threat zubaida rahman rumman offici polic intellig agenc inspect hous outlin measur safeti tariqu rahman dr zubaida daughter zaima rahman live london 2008 zubaida return bangladesh 17 entangl legal troubl 1 11 militari caretak govern subsequ awami leagu administr 26 septemb 2008 anti corrupt commiss file kafrul polic station tariqu rahman zubaida rahman mother syeda iqbal mand banu amass wealth sourc incom zubaida sentenc prison fine tk 35 lakh dhaka court stai fall awami leagu govern august bear sylhet 18 1972 zubaida admit dhaka medic colleg insist parent pass secondari examin distinct zubaida marri tariqu rahman 3 februari 1994 pass mbb examin merit career govern doctor bc 1995 zubaida rank bangladesh civil servic bc health examin sheikh hasina govern dismiss posit london studi leav 2008 move london zubaida obtain postgradu degre medicin imperi colleg zubaida father rear admir mahbub ali khan serv chief bangladesh navi govern presid ziaur rahman 4 novemb 1978 6 august 1984 subsequ serv minist commun agricultur govern hussain muhammad ershad mag osmani command chief bangladesh liber war zubaida uncl bnp sourc qatari air ambul carri khaleda entourag includ dr zubaida rahman late son arafat rahman koko wife syeda sharmila rahman medic team depart heathrow airport 6 15pm london time mondai expect reach dhaka 10 30am tuesdai stopov doha khaleda zia travel london 8 januari special air ambul emir qatar arriv admit london clinic privat hospit remain care renown specialist professor patrick kennedi professor jennif cross 17 dai 25 januari receiv treatment resid old son tariqu rahman,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11763/zubaida-rahman-returning-home-after-17yrs,72,10,0.5058726304050851,International
"Publish : 04 May 2025, 10:23",Khaleda Zia’s return set for Tuesday,return date bnp chairperson prime minist khaleda zia undergo medic treatment london uk postpon dai 5 return countri 6 tuesdai bnp medium cell shayrul kabir khan inform medium 11 45 pm saturdai 3 shayrul kabir khan share updat direct khaleda zia physician bnp stand committe dr azm zahid hossain bnp secretari mirza fakhrul islam alamgir early saturdai even bnp secretari mirza fakhrul islam alamgir tell medium khaleda zia return dhaka london special air ambul emir qatar plan bnp chairperson return countri regular bangladesh airlin flight,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11745/khaleda-zia%E2%80%99s-return-set-for-tuesday,73,10,0.9972109193792694,International
"Publish : 03 May 2025, 20:10","Khaleda to fly home in air ambulance, not Biman",receiv medic treatment bnp chairperson khaleda zia set return bangladesh london uk mondai initi bnp announc return regular flight biman bangladesh airlin parti confirm return air ambul emir qatar exact time arriv final saturdai even 3 bnp chairperson medium wing shairul kabir khan state madam return countri mondai 5 air ambul emir qatar early fridai bnp secretari mirza fakhrul islam alamgir tell medium khaleda zia return london 5 mondai month inshaallah madam return countri morn 5 accompani daughter law zubaida rahman wife tariqu rahman syeda sharmila rahman wife arafat rahman khaleda zia current health bnp secretari alhamdulillah mode return ad air ambul receiv emir qatar madam london face technic delai reason madam decid air ambul arrang moment return biman bangladesh flight worth note khaleda zia london advanc medic treatment januari 8 17 dai hospit discharg london clinic januari 25 move resid tariqu rahman time bnp chairperson celebr eid famili,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11740/khaleda-to-fly-home-in-air-ambulance-not-biman,74,10,0.9984597631664521,International
"Publish : 03 May 2025, 15:04","Hefazat unveils 3-month drive, May 23 protest",hefazat islam bangladesh announc month seri division confer nationwid protest march 23 demand establish woman right entitl announc organ secretari sajidur rahman grand ralli hold saturdai 3 dhaka suhrawardi udyan ralli 9 00 presid hefazat amir allama shah muhibullah babunagari conduct azizul haqu islamabadi mufti kefayet ullah azhari event conclud 1 11 pm prayer lead amir speech secretari state establish woman right division confer hold month addit protest march hold countri jumuah prayer 23 base kei demand joint secretari azizul haqu islamabadi read write statement behalf amir sheikh hasina flee power august 5 glimps freedom conspiraci haven stop build strong uniti come movement issu warn interim govern influenc ngo take anti islam decis hefazat accept recommend repeal woman reform commiss blasphemi law withdraw harsh punish ensur disrespect religion declar read hefazat nayeb amir secretari befaqul madarisil arabia maulana mahfuzul haqu woman reform commiss anti quran report scrap commiss form scholar trust allah reinstat constitut term plural remov ad blood martyr shapla chattar juli movement vain justic serv massacr label awami leagu murder parti activ ban bring justic hefazat leader call medium reform demand strict action new broadcast hurt religi sentiment,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11733/hefazat-unveils-3-month-drive-may-23-protest,75,10,0.5528771644036012,International
"Publish : 01 May 2025, 20:14",Decision on corridor must come from Parliament: Tarique,democrat nation world bnp leader standard practice establish norm sensit decis involv countri sovereignti parliament oppos interim govern move provid humanitarian corridor myanmar rakhin bnp act chairman tariqu rahman thursdai elect parliament sensit decis unb report freedom love peopl countri decis grant corridor peopl especif directli elect nation parliament virtual address mammoth ralli democrat nation world bnp leader standard practice establish norm sensit decis involv countri sovereignti parliament jatiyatabadi sramik dal labour wing bnp organis ralli front parti nayapaltan central offic particip thousand leader activist worker mark dai obliqu refer medium report tariqu interim govern polici decis bangladesh corridor deliv humanitarian aid myanmar rakhin embroil intern conflict bemoan interim govern inform public consult polit parti repres peopl sensit matter directli relat countri independ sovereignti bnp leader debat interim govern decis posit interim govern prioritis peopl bangladesh act safeguard foreign power myanmar india pakistan countri bangladesh foremost sole object tariqu observ saturdai foreign advis touhid hossain announc interim govern principl agre humanitarian corridor supervis subject condit provid detail matter tariqu democrat parti countri includ bnp continu unconstitut support interim govern establish elect govern account peopl fascism free bangladesh pro democrat peopl feel logic continu support interim govern indefinit bnp leader emphasis imper establish govern account peopl fugit dictat rise countri mantra dictat write constitut law countri fascism emerg disobedi constitut law tariqu journei fascism begin person quarter consid indispens start impos unilater decis peopl crucial establish elect nation parliament account govern repres directli elect peopl latent desir aspir mind individu quarter remain power time vote lead govern fascism tariqu caretak interim govern form ouster fascist govern mass upris govern form special circumst illeg govern form special circumst altern directli elect govern state bnp carri reform past propos overhaul bnp leader urg interim govern wast unnecessari time reform hold elect speak programm bnp secretari mirza fakhrul islam alamgir nation establish govern peopl restor democraci nation elect fall fascist regim exist bangladesh depend democrat transit restor democrat govern system democrat system restor countri solv demand includ worker meet state bnp carri reform past propos overhaul bnp leader urg interim govern wast unnecessari time reform hold elect todai worker ralli demand immedi implement reform propos polit parti reach consensu arrang elect promptli fakhrul propos consensu nation charter sign parti implement parliament elect govern sign agreement ignor polit parti peopl bangladesh fakhrul ad thousand gather nayapaltan ralli sramik dal ralli bnp leader includ stand committe mirza abba gayeshwar chandra roi nazrul islam khan speech oppos interim govern decis offer humanitarian corridor rakhin warn consequ caution govern provid humanitarian corridor sidestep polit parti bnp parti strong resist sramik dal coordin shamsur rahman shimul biswa set recommend ralli urg govern meet demand recommend includ hold nation elect immedi hold trial fascist ruler sheikh hasina reopen close factori industri set factori industri ensur free right trade union announc discrimin free wage board pai scale worker implement recommend labour reform commiss revok black law includ road transport act 2018 thousand leader activist sramik dal dhaka south north citi unit district adjoin dhaka join ralli wear red cap carri nation parti flag banner festoon placard inscrib slogan favour right,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11720/decision-on-corridor-must-come-from-parliament,76,8,0.9995593937316833,Weather
"Publish : 30 Apr 2025, 23:19",Fakhrul urges govt to hold nat’l polls quickly,bnp secretari mirza fakhrul islam alamgir urg professor muhammad yunu chief advis interim govern hold nation elect caus delai hold nation elect caus delai govern select peopl fakhrul professor muhammad yunu ad peopl select repres vote process bnp secretari remark event munshirhat girl school thakurgaon sadar upazila wednesdai even fakhrul ad hold elect delai hasina attempt return bangladesh destabil countri creat unrest early dai fakhrul attend view exchang meet hindu lakshmi hat baragaon union sadar upazila meet hindu muslim buddhist christian faith live commun harmoni creat divis unit goal establish peac democraci,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11711/fakhrul-urges-to-hold-nat%E2%80%99l-polls-quickly-%C2%A0,77,8,0.997416924988669,Weather
"Publish : 30 Apr 2025, 17:12",Ishraque gazetted as DSCC Mayor following court verdict,elect commiss publish gazett notif declar bnp leader ishraqu hossain mayor dhaka south citi corpor dscc implement court verdict opinion receiv law ministri stipul timefram elect commission abdul fazal md sanaullah wednesdai implement court publish gazett avoid deviat direct court tell report meet elect commiss capit unb report meet hold chief elect commission amm nasir uddin chair elect commission ec senior secretari sanaullah ec wait 5 pm sundai law ministri opinion ec didn receiv repli commiss publish gazett compli elect tribun oblig resolv 10 dai resolv repli question gazett notif declar ishraqu hossain dscc mayor receiv opinion law ministri seek opinion april 25 10 dai dai fridai dai wait 5 00pm sundai receiv repli implement court deviat ec april 27 issu gazett notif dai law advis asif nazrul claim ec act receiv opinion law ministri march 27 judg elect tribun dhaka md nurul islam nullifi result declar sheikh fazl noor taposh elect 2020 dscc elect declar ishraqu hossain winner dscc elect hold februari 1 2020 awami leagu taposh declar winner defeat ishraqu 190 000 vote taposh assum offic 16 meet elect bodi hold june term elect bodi set june,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11707/ishraque-gazetted-as-dscc-mayor-following-court,78,8,0.5567644298915458,Weather
"Publish : 27 Apr 2025, 12:09",Khaleda Zia likely to return home this week from London,plan bnp chairperson prime minist khaleda zia return bangladesh london month april sourc prime minist khaleda zia undergo medic check up old son tariqu rahman resid unit kingdom prepar return home special air ambul qatar medium sourc khaleda zia expect return wednesdai april 30 daughter law zubaida rahman syeda shamila rahman return sourc dhaka mention arrang khaleda zia return london bnp secretari mirza fakhrul islam alamgir write letter week interim govern foreign affair advisor md tawhid hossain request special air ambul qatar letter state prime minist khaleda zia london advanc medic treatment health condit stabl complet danger nonetheless express desir return home week april health situat doctor advis travel special air ambul letter bnp secretari govern reportedli arrang bangladesh commiss london doha bring khaleda zia home khaleda zia return wednesdai april 30 bnp chairperson khaleda zia imprison central jail dhaka 2018 convict corrupt covid 19 pandem previou govern releas special consider fall awami leagu govern student public upris august 5 presid md shahabuddin khaleda zia releas subsequ court annul verdict corrupt imprison januari 8 khaleda zia london advanc medic treatment 17 dai treatment transfer london clinic tariqu rahman resid januari 25 time half decad khaleda zia celebr eid famili imprison spend eid jail bangladesh medic univers hospit khaleda zia undergo comprehens health check up tariqu rahman resid suffer physic ailment time includ live cirrhosi kidnei heart diseas diabet arthriti notabl bnp chairperson visit london juli 15 2017 travel abroad,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11662/khaleda-zia-likely-to-return-home-this-week-from,79,10,0.9990472310223465,International
"Publish : 20 Apr 2025, 13:10","BNP backs reform efforts, says Salahuddin",bnp stand committe salahuddin ahm sundai parti extend sincer cooper reform initi undertake interim govern cooper reform initi transpar sincer serious matter ahead dai talk bnp nation consensu commiss ld hall jatiya sangsad complex unb report bnp deleg lead stand committe nazrul islam khan join talk 11 00am nation consensu commiss vice chairman prof ali riaz chair bnp deleg includ chairperson advisori council ismail jabiullah secretari abu mohammad moniruzzaman suprem court bar associ secretari barrist ruhul kuddu kajol early thursdai bnp particip round discuss hold 10 35am 4 45pm nation consensu commiss launch dialogu process polit parti march 20 aim build unifi posit kei reform propos initi interim govern hold talk 13 polit parti form februari 15 2025 leadership chief advis prof muhammad yunu commiss task shape share nation stanc critic reform,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11569/bnp-backs-reform-efforts-says-salahuddin,80,8,0.9981469091263185,Weather
"Publish : 19 Apr 2025, 20:44",WRC for 600 JS seats,woman reform commiss wrc report propos rais seat jatiya sangsad 600 shireen parveen huq chairperson wrc statement press brief saturdai even foreign servic academi bailei road dhaka brief commiss submit report chief advis professor muhammad yunu propos constitu featur seat reserv woman notabl seat fill direct elect aim ensur gender pariti parliamentari represent early afternoon 4 30 pm woman reform commiss lead shireen parveen huq submit report chief advis guest hous jamuna report submiss commiss includ mahin sultan senior fellow brac institut govern develop fauzia karim firoz presid bangladesh nation woman lawyer associ kalpana akter presid bangladesh garment industri worker feder ten woman reform commiss form interim govern novemb 18 shireen parveen huq find naripokkho human right activist appoint chair,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11560/wrc-proposes-600-js-seats,81,8,0.5558566739606189,Weather
"Publish : 19 Apr 2025, 14:53",'Bangladesh to see ‘best election’ in history',reaffirm govern commit free fair elect chief advis prof muhammad yunu interim administr determin ensur upcom nation elect serv mileston countri democrat progress elect bangladesh histori mileston countri democrat journei tell deleg asian network free elect anfrel unb report dr yunu bangladesh host free fair elect decemb 2025 june 2026 anfrel team meet guest hous jamuna dhaka thursdai chief advis press wing saturdai anfrel deleg includ execut director brizza rosal consult bangladesh elect democraci programm butoi senior programm offic campaign advocaci tharindu abeyrathna programm offic ayan rahman khan programm associ afsana amei anfrel region network civil societi organ dedic advanc elector democraci asia activ support elect observ democrat reform civic engag region decad meet anfrel share ongo initi bangladesh commit rebuild independ citizen lead elect observ effort deleg discuss ongo activ conduct stakehold map assess aim identifi opportun strengthen civil societi engag promot elector transpar anfrel express appreci opportun engag dialogu chief advis reaffirm commit continu collabor stakehold bangladesh support transpar credibl elect,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11556/bangladesh-to-see-%E2%80%98best-election%E2%80%99-in-history,82,8,0.8561279992619961,Weather
"Publish : 17 Apr 2025, 11:04",BNP joins talks with Consensus Commission,bangladesh nationalist parti bnp join ongo dialogu nation consensu commiss thursdai morn commiss hold seri talk polit parti forg nation consensu reform initi undertake interim govern unb report bnp deleg particip session 10 35am ld hall jatiya sangsad bhaban discuss nation consensu commiss vice chairman prof ali riaz chair bnp stand committe salahuddin ahm nazrul islam khan repres parti early april 16 bnp deleg lead secretari mirza fakhrul islam alamgir meet chief advis prof muhammad yunu voic dissatisfact meet outcom absenc specif elect timelin happi state elect hold decemb countri polit social situat worsen increasingli difficult manag mirza fakhrul tell report meet nation consensu commiss dialogu process polit parti march 20 aim build share posit kei reform propos initi interim govern hold talk 11 polit parti form februari 15 2025 leadership chief advis prof muhammad yunu commiss task shape unifi nation stanc critic reform initi phase compil kei recommend reform commiss address constitut public administr elector judici anti corrupt reform share 39 polit parti feedback date 34 parti respond commiss aim complet round talk polit parti week begin round week reach nation consensu mid juli,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11524/bnp-joins-talks-with-consensus-commission,83,8,0.9987673886412917,Weather
"Publish : 16 Apr 2025, 15:30",BNP-CA talks end in frustration,bnp wednesdai express dissatisfact chief advis prof muhammad yunu reiter nation elect hold decemb june happi elect hold decemb countri polit social situat deterior bnp secretari mirza fakhrul islam alamgir emerg meet chief advis guest hous jamuna unb report tell ca decemb cut time elect ad bnp deleg lead parti secretari mirza fakhrul islam alamgir hold meet chief advis dr muhammad yunu press specif roadmap hold nation elect decemb meet begin 12 10pm bnp medium cell sayrul kabir khan,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11515/bnp-unhappy-says-fakhrul-%C2%A0,84,8,0.9971347494814324,Weather
"Publish : 16 Apr 2025, 13:55",BNP’s meeting with Dr Yunus underway,bnp deleg lead parti secretari mirza fakhrul islam alamgir hold meet chief advis dr muhammad yunu press specif roadmap hold nation elect decemb meet guest hous jamuna 12 10pm bnp medium cell sayrul kabir khan unb report deleg includ bnp stand committe jamiruddin sircar mirza abba nazrul islam khan amir khosru mahmud chowduri salahuddin ahm iqbal hasan mahmud chowduri early tuesdai night bnp stand committe lead act chairman tariqu rahman meet discuss parti stanc elect potenti talk meet talk unb bnp senior leader deliv strong messag accept attempt delai nation elect decemb parti urg chief advis issu statement elect timelin urg ongo decemb june uncertainti parti provid reason logic justif demand hold nation elect decemb bnp leader parti call head interim govern step complet reform process come june dispel public concern attempt delai elect pretext restructur demand meet commit parti shift focu elect prepar devis strategi win voter consensu reach meet bnp leader launch movement demand restor democraci hold nation elect parti insid bnp outlin seri peac programm month organis prepar 13th nation elect expect decemb programm includ ralli march process begin grassroot level expand nationwid public gather plan initi recent meet parti organis secretari inform commun top leadership bnp receiv messag elect timelin meet chief advis parti begin implement programm month,politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11513/bnp%E2%80%99s-meeting-with-dr-yunus-underway,85,8,0.9902882871657884,Weather
